CITY,ZIP,STATE,LATITUDE,LONGITUDE
COCOA WEST,34105,FLORIDA,28.36,-80.7715
FRUITLAND PARK,34731,FLORIDA,28.863361,-81.905624
OCALA,34470,FLORIDA,29.198907,-82.087425
FORT LAUDERDALE,33311,FLORIDA,26.144303,-80.183868
NAPLES,34108,FLORIDA,26.241595,-81.807056
DUNDEE,33838,FLORIDA,28.019442,-81.614048
ORANGE CITY,32763,FLORIDA,28.939904,-81.301856
WAUCHULA,33873,FLORIDA,27.518602,-81.784123
FORT MYERS BEACH,33931,FLORIDA,26.433124,-81.902995
PEMBROKE ,33029,FLORIDA,25.993016,-80.388875
PEMBROKE PINES,33029,FLORIDA,25.993016,-80.388875
MELBOURNE,32932,FLORIDA,28.306726,-80.686159
LAKE CITY,32055,FLORIDA,30.270103,-82.62413
ISLAMORADA,33036,FLORIDA,24.90169,-80.682667
LOUGHMAN,33813,FLORIDA,27.965132,-81.939522
MELBOURNE,32935,FLORIDA,28.145549,-80.649969
FROSTPROOF,33843,FLORIDA,27.72938,-81.55934
BRADLEY,33835,FLORIDA,27.699258,-81.949419
PORT CHARLOTTE,33980,FLORIDA,26.986122,-82.055747
TAMPA,33610,FLORIDA,27.995997,-82.375733
KISSIMMEE,34741,FLORIDA,28.30639,-81.425522
MIAMI,33157,FLORIDA,25.606126,-80.343496
LAKE CITY,32025,FLORIDA,30.160115,-82.639606
MAIMI SHORES VILLAGE,33138,FLORIDA,25.863152,-80.192825
CORAL GABLES ,33156,FLORIDA,25.67927,-80.317274
DAVENPORT,33896,FLORIDA,28.256905,-81.58285
HERNANDO BEACH,34607,FLORIDA,28.504888,-82.625672
WINTER HAVEN,33881,FLORIDA,28.06374,-81.711071
BABSON,33827,FLORIDA,27.843823,-81.538683
KEY WEST,33040,FLORIDA,24.557053,-81.780989
TAMPA ,33614,FLORIDA,28.031495,-82.496367
CLERMONT,34711,FLORIDA,28.584025,-81.779423
PLANTATION,33324,FLORIDA,26.133433,-80.251143
CAPE CORAL,33990,FLORIDA,26.6265,-81.967657
MARCO ISLAND,34145,FLORIDA,25.938768,-81.696751
GREEN COVE SPRINGS,32043,FLORIDA,29.998318,-81.76468
BRADENTON BEACH,34217,FLORIDA,27.485915,-82.710221
PEMBROKE PARK,33009,FLORIDA,25.987869,-80.174769
LAKE WALES,33859,FLORIDA,27.872695,-81.626401
MIAMI,33033,FLORIDA,25.485508,-80.418186
UMATILL,32784,FLORIDA,28.925371,-81.680144
LEESBURG,32735,FLORIDA,28.904429,-81.743634
MIAMI,33129,FLORIDA,25.754485,-80.205167
PALM BAY,32907,FLORIDA,28.017577,-80.659539
ORLANDO,32806,FLORIDA,28.51103,-81.357841
COOPER CITY,33026,FLORIDA,26.026198,-80.295994
PEMBROKE PARK,33023,FLORIDA,25.995155,-80.228935
JACKSONVILLE,32216,FLORIDA,30.277467,-81.582904
HAINES CITY,33884,FLORIDA,27.97848,-81.672447
NAPLES,34105,FLORIDA,26.193769,-81.763609
EDGEWATER,32132,FLORIDA,28.974136,-80.92291
MERRITT ISLAND,32953,FLORIDA,28.388797,-80.730088
PALM BAY,32909,FLORIDA,27.933086,-80.638504
PALM COAST,32137,FLORIDA,29.564391,-81.201389
BONITA ,34135,FLORIDA,26.349405,-81.775868
PORT ORANGE,32129,FLORIDA,29.136974,-81.023957
DORAL,33178,FLORIDA,25.859963,-80.381857
LABELLE,33935,FLORIDA,26.690881,-81.448873
ORMOND BEACH,32174,FLORIDA,29.284784,-81.161348
UMATILLA,32784,FLORIDA,28.925371,-81.680144
ORLANDO,32804,FLORIDA,28.575428,-81.395503
TAMPA,33602,FLORIDA,27.950898,-82.461517
ALTAMONTE SPRINGS,32701,FLORIDA,28.666625,-81.365039
MELBOURNE,32901,FLORIDA,28.079357,-80.623618
MELBOURNE ,32901,FLORIDA,28.079357,-80.623618
WINTER HAVEN ,33884,FLORIDA,27.97848,-81.672447
LAKELAND,33813,FLORIDA,27.965132,-81.939522
SARASOTA,34242,FLORIDA,27.256626,-82.539819
PEMBROKE PINES,33025,FLORIDA,25.993997,-80.266596
HOLLYWOOD,33021,FLORIDA,26.02313,-80.186539
AUBURNDALE,33823,FLORIDA,28.0653,-81.78869
CLEWISTON,33440,FLORIDA,26.630066,-81.090897
JACKSONVILLE,32258,FLORIDA,30.156591,-81.560415
ROCKLEDGE,32955,FLORIDA,28.28714,-80.723065
JACKSONVILLE,32211,FLORIDA,30.347139,-81.581959
WEEKI WACHEE,34607,FLORIDA,28.504888,-82.625672
FORT MEYERS,33916,FLORIDA,26.635461,-81.843807
JACKSONVILLE BEACH,32250,FLORIDA,30.280143,-81.416506
OCALA,34471,FLORIDA,29.160561,-82.13077
OAKLAND PARK,33309,FLORIDA,26.186109,-80.179318
ORANGE PARK,32073,FLORIDA,30.169821,-81.739144
MIAMI,33150,FLORIDA,25.833708,-80.201159
BELLEAIR,33756,FLORIDA,27.939036,-82.786607
LAKELAND,33803,FLORIDA,28.009359,-81.932662
NALCREST,33856,FLORIDA,27.855686,-81.430915
CLERMONT,34714,FLORIDA,28.4775,-81.90591
ORLANDO,32811,FLORIDA,28.51633,-81.451559
MIAMI BEACH,33141,FLORIDA,25.851854,-80.138726
ALTOONA,32702,FLORIDA,29.059052,-81.581964
EAGLE LAKE,33839,FLORIDA,27.97836,-81.75647
GREENACRES,33463,FLORIDA,26.595537,-80.129065
TOWN OF LONGBOAT KEY,34228,FLORIDA,27.41254,-82.65899
BARTOW,33830,FLORIDA,27.918445,-81.790794
MIAMI,33127,FLORIDA,25.813321,-80.205611
PALM COAST,32164,FLORIDA,29.486141,-81.204491
MIAMI,33169,FLORIDA,25.942602,-80.214684
MAIMI,33142,FLORIDA,25.814542,-80.223938
MIRAMAR,33023,FLORIDA,25.987314,-80.232271
MIAMI BEACH,33139,FLORIDA,25.790654,-80.130046
ST CLOUD,34772,FLORIDA,28.172669,-81.26899
COCOA,32926,FLORIDA,28.386561,-80.799662
LADY LAKE,32159,FLORIDA,28.923468,-81.894367
LAKE CITY,32024,FLORIDA,30.105451,-82.68778
NEW SMYRNA BEACH,32169,FLORIDA,28.965461,-80.866467
OAKLAND PARK,33334,FLORIDA,26.172307,-80.131989
JUPITER,33458,FLORIDA,26.936558,-80.131851
MIAMI,33196,FLORIDA,25.651007,-80.486317
ORLANDO,32803,FLORIDA,28.556479,-81.33664
WEST PALM BEACH,33401,FLORIDA,26.715844,-80.070249
LEESBURG,34748,FLORIDA,28.758895,-81.888695
LAKELAND,33801,FLORIDA,28.035908,-81.899669
FLORIDA CITY,33034,FLORIDA,25.44789,-80.479224
SANIBEL,33957,FLORIDA,26.458308,-82.100065
MIAMI,33176,FLORIDA,25.65815,-80.358991
ORANGE PARK,32703,FLORIDA,28.641022,-81.48572
DAVIE,33314,FLORIDA,26.066689,-80.232021
HIGHLAND CITY,33846,FLORIDA,27.964651,-81.867153
MIDDLEBURG,32068,FLORIDA,30.078597,-81.847794
OCALA,32686,FLORIDA,29.362674,-82.254723
AUGUSTINE,32084,FLORIDA,29.918235,-81.367087
LAKE PARK,33403,FLORIDA,26.801571,-80.053915
DELTONA,32725,FLORIDA,28.900274,-81.245074
MIAMI BEACH,33140,FLORIDA,25.817701,-80.131406
AVENTURA,33180,FLORIDA,25.960716,-80.14353
EUSTIS,32726,FLORIDA,28.855051,-81.678843
JACKSONVILLE,32207,FLORIDA,30.290839,-81.631465
DANIA BEACH,33004,FLORIDA,26.052311,-80.143934
NAPLES,34102,FLORIDA,26.133968,-81.795309
SOUTH BAY,33493,FLORIDA,26.66396,-80.71617
HOLMES BEACH,34217,FLORIDA,27.512771,-82.719926
LAKE MARY,32746,FLORIDA,28.7577,-81.350772
MIAMI,33165,FLORIDA,25.734685,-80.35923
PEMBROKE PINES,33301,FLORIDA,26.121323,-80.127909
PEMBROKE,33027,FLORIDA,25.993415,-80.317325
NORTH LAUDERDALE,33068,FLORIDA,26.215954,-80.217951
TRENTON,32693,FLORIDA,29.61329,-82.81762
MULBERRY,33860,FLORIDA,27.8953,-81.97342
DAVIE,33330,FLORIDA,26.066316,-80.333872
TAMPA,33467,FLORIDA,26.596487,-80.175714
YANKEETOWN,34498,FLORIDA,29.030531,-82.719003
FT MEADE,33841,FLORIDA,27.742463,-81.723311
MIAMI,33178,FLORIDA,25.859963,-80.381857
NAPLES,34120,FLORIDA,26.330438,-81.587104
ARCADIA,34266,FLORIDA,27.186075,-81.866661
LAKELAND,33810,FLORIDA,28.147923,-82.037153
MIRAMAR,33029,FLORIDA,25.9743,-80.416084
MIAMI,33133,FLORIDA,25.712601,-80.256995
DELTONA,32738,FLORIDA,28.905269,-81.185176
TAMPA,33612,FLORIDA,28.054195,-82.442683
GAINESVILLE,32607,FLORIDA,29.653042,-82.440667
WESLEY CHAPEL,33544,FLORIDA,28.231909,-82.372196
MARATHON,33050,FLORIDA,24.71375,-81.09035
DAVIE,33325,FLORIDA,26.111872,-80.318335
MIRAMAR,33027,FLORIDA,25.985442,-80.343473
LAKELAND,33811,FLORIDA,27.986538,-82.013855
PINELLAS PARK,33781,FLORIDA,27.838362,-82.714996
BARTOW,33880,FLORIDA,27.987284,-81.762456
MIAMI LAKES,33014,FLORIDA,25.908706,-80.308662
ORLANDO,32819,FLORIDA,28.452157,-81.46784
POLK CITY,33868,FLORIDA,28.18251,-81.82397
HAINES CITY,33844,FLORIDA,28.075834,-81.592933
DEERFIELD BEACH,33441,FLORIDA,26.311102,-80.09787
LAKELAND,33815,FLORIDA,28.049648,-82.006855
POMPANO BEACH,33311,FLORIDA,26.144303,-80.183868
BROOKSVILLE,34601,FLORIDA,28.586197,-82.395858
MIAMI,33156,FLORIDA,25.67927,-80.317274
ORLANDO ,32803,FLORIDA,28.556479,-81.33664
FORT MYERS,33912,FLORIDA,26.53402,-81.826183
BELLEVIEW,34420,FLORIDA,29.053715,-82.038906
GROVELAND,34736,FLORIDA,28.587996,-81.870269
MINNEOLA,34715,FLORIDA,28.57444,-81.74619
MIAMI,33199,FLORIDA,25.774266,-80.193659
INDIAN LAKE ESTATES,33855,FLORIDA,27.798022,-81.357154
LAKELAND,33809,FLORIDA,28.176194,-81.959132
ASTOR,32102,FLORIDA,29.174011,-81.575044
